Station Name,City,GO Line,Lat,Long,Time to Union Stn (min)
Aldershot GO,Burlington,LSW,43.3133,-79.8556,68
Burlington GO,Burlington,LSW,43.3404,-79.8098,62
Appleby GO,Burlington,LSW,43.379,-79.761,55
Bronte GO,Oakville,LSW,43.4172,-79.7223,48
Oakville GO,Oakville,LSW,43.4555,-79.6835,42
Clarkson,Mississauga,LSW,43.5125,-79.6343,34
Port Credit,Mississauga,LSW,43.556,-79.5869,28
Lisgar GO,Mississauga,Milton,43.5908,-79.7885,54
Meadowvale GO,Mississauga,Milton,43.5976,-79.7543,49
Streetsville GO,Mississauga,Milton,43.576,-79.7086,42
Erindale GO,Mississauga,Milton,43.5675,-79.6671,37
Cooksville GO,Mississauga,Milton,43.583,-79.6237,31
Dixie GO,Mississauga,Milton,43.608,-79.5777,25
Mount Pleasant,Brampton,Kitchener,43.6756,-79.8212,52
Brampton GO,Brampton,Kitchener,43.6869,-79.7647,44
Bramlea GO,Brampton,Kitchener,43.7019,-79.6912,36
